product_name,product_link_name,link,major_category_name,major_category_link
"HOUSEHOLD BATTERIES: LITHIUM, ALKALINE & MORE","HOUSEHOLD BATTERIES: LITHIUM, ALKALINE & MORE",https://www.canadiantire.ca/en/household-pets/home-electronics/household-batteries.html?adlocation=LIT_HouseholdBatteries_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"SMART HOME GYM: TREADMILLS, BIKES & MORE WITH SCREENS","SMART HOME GYM: TREADMILLS, BIKES & MORE WITH SCREENS",https://www.canadiantire.ca/en/sports-rec/fitness-exercise/smart-fitness.html?adlocation=LIT_Category_SmartFitness_SmartHomeCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
PHONE CASES & SCREEN PROTECTORS,PHONE CASES & SCREEN PROTECTORS,https://www.canadiantire.ca/en/household-pets/home-electronics/cell-phone-bluetooth-accessories/cases-screen-protectors.html?adlocation=LIT_PhoneCasesScreenProtectors_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CAR CHARGERS,CAR CHARGERS,https://www.canadiantire.ca/en/household-pets/home-electronics/cell-phone-bluetooth-accessories/phone-chargers/car-chargers.html?adlocation=LIT_SEO_CarChargers_PhonechargersSSSLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WALL CHARGERS,WALL CHARGERS,https://www.canadiantire.ca/en/household-pets/home-electronics/cell-phone-bluetooth-accessories/phone-chargers/wall-chargers.html?adlocation=LIT_SEO_WallChargers_PhoneChargersSSSLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
MEMORY STICKS & CARDS,MEMORY STICKS & CARDS,https://www.canadiantire.ca/en/household-pets/home-electronics/memory-sticks-cards.html?adlocation=LIT_MemorySticksCards_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HOME PHONES & TWO-WAY RADIOS,HOME PHONES & TWO-WAY RADIOS,https://www.canadiantire.ca/en/household-pets/home-electronics/home-phones-two-way-radios.html?adlocation=LIT_HomePhonesTwoWayRadios_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
LOTION & SOAP PUMPS,LOTION & SOAP PUMPS,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-hardware-decor/lotion-soap-pumps.html?adlocation=LIT_Category_Product_LotionSoapPumpsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
SOAP DISHES,SOAP DISHES,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-hardware-decor/soap-dishes.html?adlocation=LIT_Category_Product_SoapDishesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOILET LEVERS,TOILET LEVERS,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-hardware-decor/toilet-levers.html?adlocation=LIT_Category_Product_ToiletLeversCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOILET SEATS,TOILET SEATS,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-hardware-decor/toilet-seats.html?adlocation=LIT_Category_Product_ToiletSeatsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOOTH BRUSH HOLDERS,TOOTH BRUSH HOLDERS,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-hardware-decor/tooth-brush-holders.html?adlocation=LIT_Category_Product_ToothBrushHoldersCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOWEL HOLDERS,TOWEL HOLDERS,https://www.canadiantire.ca/en/household-pets/bathroom/bathroom-hardware-decor/towel-holders.html?adlocation=LIT_Category_Product_TowelHoldersCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
